84, 0, 104934
84, 4, 3
85, 0, 97045
85, 2, 97025
85, 3, 12441
85, 4, 3
85, 1, 71196
86, 0, 84503
86, 2, 14876
86, 4, 71111
86, 3, 64444
86, 1, 22309
87, 1, 1
87, 2, 65819
87, 4, 67889
87, 0, 92780
87, 3, 67380
88, 4, 1
88, 2, 58345
88, 1, 56686
88, 3, 7698
88, 0, 86652
89, 3, 2
89, 0, 14851
89, 2, 78375
89, 4, 99481
89, 1, 73980
90, 0, 91698
90, 2, 21875
90, 4, 76451
90, 3, 75629
90, 1, 22465
91, 1, 2
91, 2, 90086
91, 4, 75006
91, 3, 75672
91, 0, 43412
92, 1, 35089
92, 3, 20870
92, 4, 49947
92, 0, 75179
92, 2, 21381
93, 3, 32277
93, 2, 1097
93, 1, 72051
93, 4, 250
93, 0, 70373
94, 1, 51051
94, 2, 11817
94, 0, 8537
94, 4, 65453
94, 3, 76553
95, 2, 2
95, 0, 104977
95, 1, 85632
95, 4, 19027
95, 3, 115111
96, 3, 88213
96, 0, 36552
96, 1, 90773
96, 4, 5473
96, 2, 91226
97, 0, 102940
97, 1, 5740
97, 4, 88243
97, 3, 121095
97, 2, 8415
98, 1, 41052
98, 0, 122447
98, 4, 90682
98, 3, 117258
98, 2, 2
99, 0, 34425
99, 3, 85857
99, 1, 3
99, 2, 50643
99, 4, 61451

